Swimming Women's 100 metres Backstroke,Swimming
Cycling Women's Team Sprint,Cycling
Swimming Women's 100 metres Breaststroke,Swimming
"Archery Men's Target Archery, 33 metres, Team",Archery
Freestyle Skiing Women's Aerials,Freestyle Skiing
Athletics Men's 5 mile,Athletics
Cycling Men's BMX,Cycling
"Shooting Men's Small-Bore Rifle, Standing, 50 metres",Shooting
"Fencing Men's Foil, Team",Fencing
Figure Skating Mixed Ice Dancing,Figure Skating
Athletics Men's Stone Throw,Athletics
Beach Volleyball Women's Beach Volleyball,Beach Volleyball
Weightlifting Women's Heavyweight,Weightlifting
"Wrestling Men's Lightweight, Greco-Roman",Wrestling
"Wrestling Men's Light-Heavyweight, Greco-Roman",Wrestling
"Fencing Men's Single Sticks, Individual",Fencing
"Shooting Men's Running Target, 10 metres",Shooting
Rowing Women's Double Sculls,Rowing
"Athletics Men's Discus Throw, Both Hands",Athletics
Shooting Mixed Trap,Shooting
"Canoeing Women's Kayak Fours, 500 metres",Canoeing
Sailing Mixed 18 foot,Sailing
Athletics Men's Triple Jump,Athletics
Judo Men's Open Class,Judo
"Shooting Men's Muzzle-Loading Pistol, 25 metres",Shooting
Sailing Men's Two Person Keelboat,Sailing
Swimming Men's One Mile Freestyle,Swimming
Sailing Mixed 1-2 Ton,Sailing
"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",Shooting
Rowing Men's 6-Man Naval Rowing Boats,Rowing
"Canoeing Men's Kayak Singles, 10,000 metres",Canoeing
Modern Pentathlon Men's Team,Modern Pentathlon
"Canoeing Men's Canadian Singles, 10,000 metres",Canoeing
Table Tennis Men's Doubles,Table Tennis
"Athletics Men's Cross-Country, Team",Athletics
"Shooting Men's Running Target, Single And Double Shot",Shooting
Speed Skating Men's Team Pursuit (8 laps),Speed Skating
